payload_id,agent_id,received_at,envelope_created_at,payload_collected_at,hostname,username,crypto_scheme,key_id,nonce_hash,ciphertext_hash,decrypted_payload_hash,encrypted_envelope_json,validation_status,duplicate_attempt_count
pld-4316d0a8-b551-4e91-aca0-ed1be17ef573,agt-1001,2026-05-15 23:59:00+00,2026-05-15 23:59:00+00,2026-05-15 23:59:00+00,LT-JDOE,jdoe,AES-256-GCM,key-1,hash,hash,hash,{},VALID,0
pld-d5426e31-e4e0-4d4b-841d-49c0f8bfb6f5,agt-1002,2026-05-15 23:59:00+00,2026-05-15 23:59:00+00,2026-05-15 23:59:00+00,LT-ASMITH,asmith,AES-256-GCM,key-1,hash,hash,hash,{},VALID,0
pld-0bdaa924-b79c-4e8b-b81d-ccd16f342011,agt-1003,2026-05-15 23:59:00+00,2026-05-15 23:59:00+00,2026-05-15 23:59:00+00,LT-MJONES,mjones,AES-256-GCM,key-1,hash,hash,hash,{},VALID,0
pld-59cd499a-6a78-4373-a653-c5f453ad8f7b,agt-1004,2026-05-15 23:59:00+00,2026-05-15 23:59:00+00,2026-05-15 23:59:00+00,LT-BWILLIAMS,bwilliams,AES-256-GCM,key-1,hash,hash,hash,{},VALID,0
pld-39586e76-f2cb-4c38-b642-46c06575574b,agt-1005,2026-05-15 23:59:00+00,2026-05-15 23:59:00+00,2026-05-15 23:59:00+00,LT-CDAVIS,cdavis,AES-256-GCM,key-1,hash,hash,hash,{},VALID,0
pld-ecb06d7d-aa41-429c-b450-07dbfd6c3315,agt-1006,2026-05-15 23:59:00+00,2026-05-15 23:59:00+00,2026-05-15 23:59:00+00,LT-MSCOTT,mscott,AES-256-GCM,key-1,hash,hash,hash,{},VALID,0
pld-5558c66f-b5c5-480c-849a-0af9f7ad5848,agt-1007,2026-05-15 23:59:00+00,2026-05-15 23:59:00+00,2026-05-15 23:59:00+00,LT-TJONES,tjones,AES-256-GCM,key-1,hash,hash,hash,{},VALID,0
pld-c4a4b8cb-b8bc-4634-bc2c-7edb48f66d32,agt-1008,2026-05-15 23:59:00+00,2026-05-15 23:59:00+00,2026-05-15 23:59:00+00,LT-RWILSON,rwilson,AES-256-GCM,key-1,hash,hash,hash,{},VALID,0
pld-9fd0a93b-c7e7-4d02-875a-71b0859c1581,agt-1009,2026-05-15 23:59:00+00,2026-05-15 23:59:00+00,2026-05-15 23:59:00+00,LT-ESNOW,esnow,AES-256-GCM,key-1,hash,hash,hash,{},VALID,0
pld-c805da79-bf57-44fd-bac5-b35f275c2f1e,agt-1010,2026-05-15 23:59:00+00,2026-05-15 23:59:00+00,2026-05-15 23:59:00+00,LT-BADMIN,badmin,AES-256-GCM,key-1,hash,hash,hash,{},VALID,0
pld-c6ff2340-a95d-48c5-8c93-1aa58f3efc51,agt-1001,2026-05-16 23:59:00+00,2026-05-16 23:59:00+00,2026-05-16 23:59:00+00,LT-JDOE,jdoe,AES-256-GCM,key-1,hash,hash,hash,{},VALID,0
pld-60a85649-3803-4f04-ad35-9db70e12e5d2,agt-1002,2026-05-16 23:59:00+00,2026-05-16 23:59:00+00,2026-05-16 23:59:00+00,LT-ASMITH,asmith,AES-256-GCM,key-1,hash,hash,hash,{},VALID,0
pld-74671ee9-4f12-487b-84ff-04acc1972361,agt-1003,2026-05-16 23:59:00+00,2026-05-16 23:59:00+00,2026-05-16 23:59:00+00,LT-MJONES,mjones,AES-256-GCM,key-1,hash,hash,hash,{},VALID,0
pld-970eeba1-1fa4-4c10-8b79-1a8b592c0b17,agt-1004,2026-05-16 23:59:00+00,2026-05-16 23:59:00+00,2026-05-16 23:59:00+00,LT-BWILLIAMS,bwilliams,AES-256-GCM,key-1,hash,hash,hash,{},VALID,0
pld-f3bf96f3-8c3b-42e6-8d17-31715ce1c2a2,agt-1005,2026-05-16 23:59:00+00,2026-05-16 23:59:00+00,2026-05-16 23:59:00+00,LT-CDAVIS,cdavis,AES-256-GCM,key-1,hash,hash,hash,{},VALID,0
pld-c8fe4d15-4913-49a4-b4af-225cb65283b2,agt-1006,2026-05-16 23:59:00+00,2026-05-16 23:59:00+00,2026-05-16 23:59:00+00,LT-MSCOTT,mscott,AES-256-GCM,key-1,hash,hash,hash,{},VALID,0
pld-8c746bc6-1aef-4430-bc4d-4241ca78c2b1,agt-1007,2026-05-16 23:59:00+00,2026-05-16 23:59:00+00,2026-05-16 23:59:00+00,LT-TJONES,tjones,AES-256-GCM,key-1,hash,hash,hash,{},VALID,0
pld-61ac6447-5d5f-4d0d-8b5d-25cf24c21458,agt-1008,2026-05-16 23:59:00+00,2026-05-16 23:59:00+00,2026-05-16 23:59:00+00,LT-RWILSON,rwilson,AES-256-GCM,key-1,hash,hash,hash,{},VALID,0
pld-abb216f6-89bf-45a7-b9df-5b4baf1ea48e,agt-1009,2026-05-16 23:59:00+00,2026-05-16 23:59:00+00,2026-05-16 23:59:00+00,LT-ESNOW,esnow,AES-256-GCM,key-1,hash,hash,hash,{},VALID,0
pld-0fff65fc-e362-4707-b287-30d8040fd0e6,agt-1010,2026-05-16 23:59:00+00,2026-05-16 23:59:00+00,2026-05-16 23:59:00+00,LT-BADMIN,badmin,AES-256-GCM,key-1,hash,hash,hash,{},VALID,0
pld-501fa149-fcea-4e9a-acd0-b1d60ef06747,agt-1001,2026-05-17 23:59:00+00,2026-05-17 23:59:00+00,2026-05-17 23:59:00+00,LT-JDOE,jdoe,AES-256-GCM,key-1,hash,hash,hash,{},VALID,0
pld-fe1e4291-33b9-412a-ae88-60339397c9ea,agt-1002,2026-05-17 23:59:00+00,2026-05-17 23:59:00+00,2026-05-17 23:59:00+00,LT-ASMITH,asmith,AES-256-GCM,key-1,hash,hash,hash,{},VALID,0
pld-0ee9b6f0-888e-4e87-9a01-1cc48788029c,agt-1003,2026-05-17 23:59:00+00,2026-05-17 23:59:00+00,2026-05-17 23:59:00+00,LT-MJONES,mjones,AES-256-GCM,key-1,hash,hash,hash,{},VALID,0
pld-db4ba592-19aa-44a6-ba12-5881e4ca371c,agt-1004,2026-05-17 23:59:00+00,2026-05-17 23:59:00+00,2026-05-17 23:59:00+00,LT-BWILLIAMS,bwilliams,AES-256-GCM,key-1,hash,hash,hash,{},VALID,0
pld-956dd17b-5fdf-4c25-bb31-e30eb5cfd63c,agt-1005,2026-05-17 23:59:00+00,2026-05-17 23:59:00+00,2026-05-17 23:59:00+00,LT-CDAVIS,cdavis,AES-256-GCM,key-1,hash,hash,hash,{},VALID,0
pld-886090d6-7ff1-4366-b07f-371bb48ec1ab,agt-1006,2026-05-17 23:59:00+00,2026-05-17 23:59:00+00,2026-05-17 23:59:00+00,LT-MSCOTT,mscott,AES-256-GCM,key-1,hash,hash,hash,{},VALID,0
pld-0a6431b1-4351-4ce1-9e6c-abd14a467ecb,agt-1007,2026-05-17 23:59:00+00,2026-05-17 23:59:00+00,2026-05-17 23:59:00+00,LT-TJONES,tjones,AES-256-GCM,key-1,hash,hash,hash,{},VALID,0
pld-f5fc6660-0204-4de4-aaa0-43210539adff,agt-1008,2026-05-17 23:59:00+00,2026-05-17 23:59:00+00,2026-05-17 23:59:00+00,LT-RWILSON,rwilson,AES-256-GCM,key-1,hash,hash,hash,{},VALID,0
pld-fdabd9a9-7839-4193-b245-bcade38fb1e4,agt-1009,2026-05-17 23:59:00+00,2026-05-17 23:59:00+00,2026-05-17 23:59:00+00,LT-ESNOW,esnow,AES-256-GCM,key-1,hash,hash,hash,{},VALID,0
pld-0d8025d3-d18a-40c5-9577-debfcd1b1835,agt-1010,2026-05-17 23:59:00+00,2026-05-17 23:59:00+00,2026-05-17 23:59:00+00,LT-BADMIN,badmin,AES-256-GCM,key-1,hash,hash,hash,{},VALID,0
pld-008bb450-0955-4d5e-a94a-179dd79dc8c3,agt-1001,2026-05-18 23:59:00+00,2026-05-18 23:59:00+00,2026-05-18 23:59:00+00,LT-JDOE,jdoe,AES-256-GCM,key-1,hash,hash,hash,{},VALID,0
